# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,discrim_loss_mean,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_sound_features,mean_count_rewards
0,1751023468.1212459,0,20.026042938232422,0.002374999923631549,19.238603591918945,0.2887708246707916,-0.19443663954734802,0.6931066513061523,5.937500100117177e-05,1.336428301357273e-09,5.937632158747874e-05,0.02923964522778988,0.5667381286621094
1,1751023481.355514,3200,-32.674129486083984,0.0,-34.03926086425781,0.866370439529419,-0.19445444643497467,0.6932147145271301,0.0,1.344314548568093e-09,1.344314548568093e-09,0.034341003745794296,0.5825772285461426
2,1751023494.2782638,6400,19.42477798461914,0.03189023956656456,18.500099182128906,0.42582136392593384,-0.19451341032981873,0.6933708786964417,0.0008171874796971679,1.350061618055065e-09,0.000817188760265708,0.04149363562464714,0.5830851197242737
3,1751023507.4603837,9600,-5.679374694824219,0.0,-6.209647178649902,0.03199133276939392,-0.19449704885482788,0.6927780508995056,0.0,1.3585585989517313e-09,1.3585585989517313e-09,0.04175257682800293,0.5825473070144653
4,1751023520.0781655,12800,2.93357253074646,0.02448170632123947,2.3502197265625,0.08523040264844894,-0.19447746872901917,0.6926000714302063,0.0006273437174968421,1.3519152464169792e-09,0.000627345172688365,0.03820660710334778,0.5840343832969666
5,1751023532.8955324,16000,-0.6570836901664734,0.013302468694746494,-1.221381425857544,0.06535911560058594,-0.1944606453180313,0.6933992505073547,0.00033671874552965164,1.3453638203486662e-09,0.0003367201134096831,0.038046956062316895,0.5831418037414551
6,1751023546.2298825,19200,-0.18003439903259277,0.0,-0.6795616149902344,0.00034450285602360964,-0.1944398283958435,0.6936225295066833,0.0,1.351150413775315e-09,1.351150413775315e-09,0.031447798013687134,0.573661208152771
7,1751023558.9861336,22400,0.6831629872322083,0.0,0.18405470252037048,2.5538309273542836e-05,-0.19444076716899872,0.6935235261917114,0.0,1.3594081416101744e-09,1.3594081416101744e-09,0.03685882315039635,0.5915060639381409
8,1751023572.1087701,25600,1.951951503753662,0.014259259216487408,1.3782565593719482,0.07493690401315689,-0.19444172084331512,0.6931997537612915,0.0003609374980442226,1.3670632403872673e-09,0.00036093895323574543,0.030997587367892265,0.5829675793647766
9,1751023587.5458426,28800,-0.6991391777992249,0.007562500424683094,-1.228489637374878,0.030520694330334663,-0.19443915784358978,0.6932689547538757,0.00018906249897554517,1.3692126321629416e-09,0.00018906386685557663,0.04180624336004257,0.57478266954422
10,1751023601.2448902,32000,0.23390543460845947,0.0,-0.26512378454208374,5.050970139564015e-05,-0.1944200098514557,0.6933987140655518,0.0,1.3728863601514263e-09,1.3728863601514263e-09,0.029746131971478462,0.5773279666900635
11,1751023617.605811,35200,2.4386558532714844,0.017037037760019302,1.84501051902771,0.09491568058729172,-0.1944216936826706,0.6931514143943787,0.0004312499950174242,1.3805163678881627e-09,0.0004312514211051166,0.03887558728456497,0.576034426689148
12,1751023632.4166422,38400,-1.0596011877059937,0.009691358543932438,-1.5905146598815918,0.03213246911764145,-0.19437561929225922,0.6931565999984741,0.00024531251983717084,1.3812266885793179e-09,0.00024531380040571094,0.03620462119579315,0.5871764421463013
13,1751023647.9016805,41600,2.2073004245758057,0.014382715336978436,1.6466124057769775,0.06193295121192932,-0.19438402354717255,0.6931390762329102,0.0003640624927356839,1.3821618294329596e-09,0.00036406388971954584,0.041681256145238876,0.5873957276344299
14,1751023662.0720518,44800,-1.805393934249878,0.0,-2.308321475982666,0.004116905853152275,-0.19433215260505676,0.6931427121162415,0.0,1.381670333699958e-09,1.381670333699958e-09,0.04253290221095085,0.589083731174469
15,1751023675.3877764,48000,2.710081100463867,0.026006096974015236,2.112027406692505,0.0992235317826271,-0.19433215260505676,0.6931620836257935,0.0006664062384516001,1.3814606125706064e-09,0.000666407635435462,0.050044480711221695,0.5974275469779968
16,1751023689.2980704,51200,-0.5178643465042114,0.011625000275671482,-1.0665483474731445,0.049786120653152466,-0.1942870020866394,0.6931849718093872,0.00029062500107102096,1.383028247481377e-09,0.0002906263107433915,0.025843558833003044,0.5844181776046753
17,1751023702.3752759,54400,0.4703108072280884,0.006512345280498266,-0.06583108007907867,0.03727610781788826,-0.19427518546581268,0.693140983581543,0.00016484374646097422,1.3875981474953392e-09,0.00016484507068526,0.031745169311761856,0.5756416916847229
18,1751023715.208215,57600,0.2353573739528656,0.002093750052154064,-0.2692733705043793,0.005745164584368467,-0.19426751136779785,0.6931530833244324,5.2343752031447366e-05,1.3893219907856746e-09,5.2345130825415254e-05,0.042278118431568146,0.5781916975975037
19,1751023729.6165533,60800,3.7971813678741455,0.047198791056871414,3.08516788482666,0.21315766870975494,-0.1942700445652008,0.6931259632110596,0.0012242188677191734,1.388436587923536e-09,0.0012242199154570699,0.03958930820226669,0.5825620293617249
20,1751023743.7067447,64000,-2.775081157684326,0.008456789888441563,-3.327874183654785,0.053840138018131256,-0.19420193135738373,0.6931548118591309,0.00021406250016298145,1.39201605797723e-09,0.00021406383893918246,0.03024369105696678,0.593848705291748
21,1751023759.4933012,67200,0.569240391254425,0.0,0.07028472423553467,4.376318429422099e-06,-0.194168359041214,0.6931196451187134,0.0,1.3912394569715048e-09,1.3912394569715048e-09,0.0332367904484272,0.5807600021362305
22,1751023772.3852937,70400,1.9353430271148682,0.02231707237660885,1.3381118774414062,0.09828276932239532,-0.19417080283164978,0.6931192278862,0.000571874959859997,1.3931037434744553e-09,0.0005718764150515199,0.042588651180267334,0.5770386457443237
23,1751023786.2419777,73600,-0.8373234272003174,0.01552469190210104,-1.3721520900726318,0.03589187189936638,-0.19412314891815186,0.6930599212646484,0.0003929687663912773,1.3944362331486104e-09,0.00039297022158280015,0.03803442046046257,0.5874491333961487
24,1751023799.9695566,76800,2.392488718032837,0.019382715225219727,1.8039827346801758,0.08959628641605377,-0.1940716952085495,0.6929813027381897,0.0004906250396743417,1.398188675949541e-09,0.0004906263784505427,0.03784745931625366,0.5825111865997314
25,1751023813.8992326,80000,-0.3107811212539673,0.01453703735023737,-0.8854519128799438,0.07553258538246155,-0.1940733790397644,0.6932116746902466,0.0003679687506519258,1.4028378458874613e-09,0.0003679700894281268,0.03813778981566429,0.5878777503967285
26,1751023827.7731228,83200,2.6240577697753906,0.038373492658138275,1.9831268787384033,0.1415250152349472,-0.19403718411922455,0.6934431195259094,0.000995312468148768,1.4004735149342196e-09,0.0009953138651326299,0.04388699680566788,0.5856543779373169
27,1751023840.6352422,86400,-1.6055059432983398,0.01453703735023737,-2.1788885593414307,0.0742335170507431,-0.19393998384475708,0.6930890083312988,0.0003679687506519258,1.3924608133208949e-09,0.0003679701767396182,0.031804487109184265,0.5747240781784058
28,1751023852.7880228,89600,0.49766016006469727,0.015802469104528427,-0.05930739641189575,0.05773894116282463,-0.1939430683851242,0.6931716799736023,0.00039999998989515007,1.3954353228484706e-09,0.00040000141598284245,0.033718012273311615,0.5768887996673584
29,1751023866.2531226,92800,0.35692816972732544,0.0073456792160868645,-0.18419557809829712,0.041914258152246475,-0.19387994706630707,0.6930894255638123,0.00018593750428408384,1.3941354737312395e-09,0.0001859388721641153,0.0351720005273819,0.5667476058006287
30,1751023879.0936124,96000,1.2130498886108398,0.01787037029862404,0.6461796760559082,0.06758610904216766,-0.1938878297805786,0.6931719779968262,0.00045234375284053385,1.3963061817889866e-09,0.0004523451498243958,0.03784993663430214,0.5768443942070007
31,1751023891.7804966,99200,0.6162077188491821,0.02259146422147751,0.021553631871938705,0.09529299288988113,-0.19384144246578217,0.693202555179596,0.0005789062124677002,1.395029758377575e-09,0.0005789075512439013,0.03178858011960983,0.5850411057472229
32,1751023905.050907,102400,1.115144968032837,0.014281250536441803,0.5562841892242432,0.05948498472571373,-0.1937934160232544,0.6931692361831665,0.00035703126923181117,1.3925027797512257e-09,0.00035703263711184263,0.03225850686430931,0.5931244492530823
33,1751023917.899578,105600,-0.3222428560256958,0.010246912948787212,-0.8752815127372742,0.05370424687862396,-0.1938026398420334,0.6931370496749878,0.0002593749959487468,1.3909098317554935e-09,0.00025937636382877827,0.035639043897390366,0.5725238919258118
34,1751023930.0572364,108800,0.20241832733154297,0.007623456884175539,-0.34004390239715576,0.04310730844736099,-0.1938067376613617,0.69316166639328,0.00019296875689178705,1.3914750462973302e-09,0.00019297005201224238,0.046369265764951706,0.5908863544464111
35,1751023942.8542936,112000,0.6995732188224792,0.007156250067055225,0.15961650013923645,0.04054717347025871,-0.19375166296958923,0.6931611895561218,0.00017890625167638063,1.3902108353391895e-09,0.00017890759045258164,0.03671412169933319,0.5791771411895752
36,1751023956.8574119,115200,1.7816574573516846,0.02682926505804062,1.1574537754058838,0.12476393580436707,-0.1937030404806137,0.6931427121162415,0.0006874999380670488,1.3887512251287149e-09,0.0006875012186355889,0.028936685994267464,0.5840499997138977
37,1751023971.1668022,118400,-1.0548372268676758,0.00608024699613452,-1.5790640115737915,0.024730883538722992,-0.19363312423229218,0.6931290030479431,0.00015390625048894435,1.3892751393740355e-09,0.00015390763292089105,0.04341721162199974,0.5756721496582031
38,1751023987.961656,121600,4.832078456878662,0.048132531344890594,4.0874714851379395,0.245091512799263,-0.19359415769577026,0.6931096911430359,0.0012484375620260835,1.391361470481911e-09,0.0012484387261793017,0.05164383724331856,0.5947015881538391
39,1751024003.3326118,124800,-3.777216911315918,0.014814815483987331,-4.359264373779297,0.08226761966943741,-0.1934097707271576,0.6931895613670349,0.000375000003259629,1.3939078780111913e-09,0.0003750014293473214,0.039776865392923355,0.5813353657722473
40,1751024020.4527972,128000,2.546766996383667,0.02432926744222641,1.9873456954956055,0.05958792567253113,-0.19328001141548157,0.6931132674217224,0.0006234375177882612,1.3915593122248993e-09,0.0006234388565644622,0.039764128625392914,0.5838141441345215
41,1751024040.1918273,131200,-0.8244022130966187,0.011218749918043613,-1.3847850561141968,0.060385189950466156,-0.19318366050720215,0.6931812763214111,0.00028046875377185643,1.393646420488892e-09,0.00028047015075571835,0.0343724749982357,0.5735104084014893
42,1751024065.0160482,134400,2.3302371501922607,0.03448795527219772,1.667278528213501,0.16299618780612946,-0.1931849718093872,0.6931474804878235,0.0008945312583819032,1.391713855269927e-09,0.0008945324807427824,0.04648880660533905,0.5757224559783936
43,1751024084.2087295,137600,-1.1963987350463867,0.017037037760019302,-1.7766146659851074,0.08002834022045135,-0.19299323856830597,0.6931809782981873,0.0004312499950174242,1.3914679408699726e-09,0.0004312514211051166,0.03563004732131958,0.5837523937225342
44,1751024102.264396,140800,2.121572732925415,0.022012194618582726,1.526581048965454,0.09477334469556808,-0.19294700026512146,0.6931654214859009,0.0005640625022351742,1.3889517314069622e-09,0.0005640638992190361,0.04565965011715889,0.578700602054596
45,1751024119.6396155,144000,-1.0258913040161133,0.014413580298423767,-1.5953158140182495,0.06921190768480301,-0.19293493032455444,0.6931473612785339,0.0003648437559604645,1.3864809300656589e-09,0.0003648450947366655,0.043154165148735046,0.5773842334747314
46,1751024133.3550386,147200,0.641623854637146,0.008843749761581421,0.09662153571844101,0.04482463747262955,-0.19296978414058685,0.6931474804878235,0.00022109373821876943,1.3860972369883484e-09,0.0002210950624430552,0.029027454555034637,0.5793594121932983
47,1751024148.0100453,150400,0.7460885643959045,0.01902438886463642,0.18520572781562805,0.06069383770227432,-0.19295454025268555,0.6931435465812683,0.00048749998677521944,1.38666989002445e-09,0.00048750132555142045,0.04230641946196556,0.5979437828063965
48,1751024160.825829,153600,1.0577187538146973,0.01716049388051033,0.49078330397605896,0.06661337614059448,-0.1928531378507614,0.6931753158569336,0.00043437498970888555,1.3900205431127688e-09,0.0004343763866927475,0.04204794391989708,0.5694079995155334
49,1751024174.6816256,156800,0.6315544247627258,0.026676829904317856,0.0333172082901001,0.09794816374778748,-0.1928444653749466,0.693133533000946,0.0006835937383584678,1.3872787363311545e-09,0.0006835950189270079,0.04200723022222519,0.5733975172042847
50,1751024187.0733812,160000,-0.09125286340713501,0.01787037029862404,-0.6795164942741394,0.08781690150499344,-0.19272300601005554,0.6931697726249695,0.00045234375284053385,1.3918330932227718e-09,0.00045234509161673486,0.045349717140197754,0.5684086084365845
51,1751024200.286,163200,1.84885573387146,0.020792681723833084,1.2408525943756104,0.1073937863111496,-0.19254687428474426,0.6931563019752502,0.0005328124971129,1.3902056172909738e-09,0.000532813835889101,0.04215683043003082,0.5922439098358154
52,1751024213.2416515,166400,-1.2399570941925049,0.01827160455286503,-1.7906811237335205,0.05015600472688675,-0.19255007803440094,0.6931180953979492,0.0004625000001396984,1.3892451633523706e-09,0.0004625013389158994,0.04321133345365524,0.5757564902305603
53,1751024227.0934393,169600,2.831800937652588,0.021604938432574272,2.214327096939087,0.11687199771404266,-0.19247998297214508,0.6930819749832153,0.0005468749441206455,1.3924100761286695e-09,0.0005468762828968465,0.03104434534907341,0.5713250041007996
54,1751024241.9687486,172800,-2.4507439136505127,0.0042901234701275826,-2.978496551513672,0.027301618829369545,-0.19255492091178894,0.6930060982704163,0.00010859374742722139,1.3957801581199192e-09,0.00010859516623895615,0.04070243611931801,0.5877681970596313
