# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,discrim_loss_mean,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_sound_features,mean_count_rewards
0,1751888065.0086913,0,-1.4903103113174438,0.0035000001080334187,-1.9984290599822998,0.009385810233652592,-0.19458377361297607,0.6933168172836304,8.749999688006938e-05,0.00014072220074012876,0.0002282221830682829,0.3090488314628601,0.5860795974731445
1,1751888092.199672,3200,36.56911849975586,0.0026562500279396772,35.08634948730469,0.9840976595878601,-0.19453653693199158,0.6932117938995361,6.640625360887498e-05,0.0001399438624503091,0.0002063501306110993,0.33708763122558594,0.5886263251304626
2,1751888112.3670442,6400,-2.2290291786193848,0.0054687499068677425,-2.763842821121216,0.03626062348484993,-0.19456914067268372,0.6931220889091492,0.0001367187505820766,0.00013934625894762576,0.0002760650240816176,0.3256058990955353,0.5789992213249207
3,1751888136.1373374,9600,0.7334287166595459,0.004343749955296516,0.21464931964874268,0.02021832764148712,-0.19456274807453156,0.6931238174438477,0.00010859374742722139,0.00013952807057648897,0.00024812185438349843,0.31982213258743286,0.576790452003479
4,1751888160.4354403,12800,0.1907455325126648,0.004012345336377621,-0.31615757942199707,0.008252112194895744,-0.19456034898757935,0.6932113766670227,0.00010156249481951818,0.0001396245788782835,0.0002411870809737593,0.33774295449256897,0.5871334671974182
5,1751888183.8259706,16000,1.1051791906356812,0.008968750014901161,0.5621458292007446,0.044420890510082245,-0.1945606917142868,0.6931731700897217,0.0002242187620140612,0.0001391833066008985,0.00036340203951112926,0.33241888880729675,0.5756241083145142
6,1751888205.097619,19200,1.3299033641815186,0.01577160507440567,0.763425886631012,0.06790024787187576,-0.19456171989440918,0.6931390166282654,0.0003992187266703695,0.00013890245463699102,0.0005381211522035301,0.32232728600502014,0.5856338739395142
7,1751888226.7515643,22400,-0.010264158248901367,0.013024692423641682,-0.5671970844268799,0.05831461027264595,-0.19455505907535553,0.693173348903656,0.0003296875220257789,0.00013903548824600875,0.0004687230393756181,0.32570335268974304,0.5891623497009277
8,1751888249.8414335,25600,1.190991997718811,0.017037037760019302,0.6087883114814758,0.08360027521848679,-0.19455645978450775,0.6931598782539368,0.0004312499950174242,0.0001387287920806557,0.000569978728890419,0.32593008875846863,0.5817617774009705
9,1751888276.350094,28800,-0.49007880687713623,0.006635802797973156,-1.008382797241211,0.019708435982465744,-0.1945534497499466,0.6931489706039429,0.00016796875570435077,0.00013825666974298656,0.00030622538179159164,0.31568723917007446,0.5879523754119873
10,1751888305.3567283,32000,0.35866057872772217,0.004906250163912773,-0.164464071393013,0.024573877453804016,-0.19455182552337646,0.6931025981903076,0.00012265625991858542,0.00013829348608851433,0.0002609497169032693,0.3321567475795746,0.5751423835754395
11,1751888327.3960814,35200,-0.16040873527526855,0.0,-0.6593105792999268,0.00041913974564522505,-0.19454990327358246,0.6930326223373413,0.0,0.00013790183584205806,0.00013790183584205806,0.33247941732406616,0.5670759677886963
12,1751888349.5734048,38400,3.655048370361328,0.04030120372772217,2.9532737731933594,0.20309732854366302,-0.19455090165138245,0.6932282447814941,0.001045312499627471,0.00013752319500781596,0.0011828354327008128,0.31991228461265564,0.5878313779830933
13,1751888370.3143485,41600,-1.1744492053985596,0.004845679271966219,-1.7001736164093018,0.027094749733805656,-0.19453567266464233,0.6931653022766113,0.00012265625991858542,0.00013772532111033797,0.0002603815810289234,0.32380688190460205,0.5721520781517029
14,1751888393.8700562,44800,0.4180581569671631,0.013875000178813934,-0.13257616758346558,0.051940806210041046,-0.1945388913154602,0.6932324171066284,0.0003468749928288162,0.00013780103472527117,0.000484676071209833,0.32036086916923523,0.5718680024147034
15,1751888421.6185513,48000,0.6553720235824585,0.016432927921414375,0.07912921905517578,0.0776219516992569,-0.19453397393226624,0.6931548118591309,0.00042109377682209015,0.0001380363100906834,0.0005591301014646888,0.33019980788230896,0.578102171421051
16,1751888458.354192,51200,2.560204029083252,0.03161585330963135,1.8895366191864014,0.1720622330904007,-0.1945333182811737,0.6931384801864624,0.0008101562270894647,0.0001380765315843746,0.0009482327732257545,0.3328230082988739,0.5847012996673584
17,1751888490.927054,54400,-1.4830418825149536,0.0018124999478459358,-1.9888144731521606,0.007176914252340794,-0.19452036917209625,0.6931160688400269,4.531249942374416e-05,0.00013805839989800006,0.00018337091023568064,0.3311847150325775,0.5734648108482361
18,1751888515.2680645,57600,1.2781751155853271,0.019104938954114914,0.694965660572052,0.08454034477472305,-0.19452208280563354,0.6931911706924438,0.000483593757962808,0.00013797986321151257,0.000621573708485812,0.3222605884075165,0.5839322805404663
19,1751888543.1786377,60800,-0.17380279302597046,0.006512345280498266,-0.7097393870353699,0.03722710162401199,-0.19451822340488434,0.6932277083396912,0.00016484374646097422,0.0001380966859869659,0.0003029404324479401,0.32036447525024414,0.5869489908218384
20,1751888571.2767353,64000,0.16007065773010254,0.014135802164673805,-0.3736945688724518,0.03515724092721939,-0.19451849162578583,0.6931264996528625,0.00035781250335276127,0.00013831215619575232,0.0004961246158927679,0.3289444148540497,0.570432722568512
21,1751888599.6468759,67200,0.838707447052002,0.014382715336978436,0.28531089425086975,0.0547994039952755,-0.1945166289806366,0.6931137442588806,0.0003640625218395144,0.00013823782501276582,0.0005023002740927041,0.32043877243995667,0.5939939022064209
22,1751888619.1504455,70400,-0.5702935457229614,0.0,-1.0699936151504517,0.0010047743562608957,-0.19451496005058289,0.693210244178772,0.0,0.00013814838894177228,0.00013814838894177228,0.3208293914794922,0.5815240144729614
23,1751888643.5707238,73600,2.193220853805542,0.029695121571421623,1.557754635810852,0.13680069148540497,-0.19451534748077393,0.6931809782981873,0.0007609374588355422,0.00013828370720148087,0.0008992212824523449,0.3314136266708374,0.5815292596817017
24,1751888664.6256456,76800,-0.6077434420585632,0.0,-1.1075036525726318,0.0011611669324338436,-0.1945078819990158,0.6931068301200867,0.0,0.0001383675407851115,0.0001383675407851115,0.3202170133590698,0.5663167834281921
25,1751888688.1822295,80000,0.5656079053878784,0.019413579255342484,-0.01335282251238823,0.08030261099338531,-0.19450829923152924,0.6931664347648621,0.0004914062446914613,0.0001382607442792505,0.0006296670180745423,0.3359413743019104,0.5695724487304688
26,1751888715.2883923,83200,-0.03949648141860962,0.0015312500763684511,-0.5415444374084473,0.0034518905449658632,-0.19450561702251434,0.693101704120636,3.8281250454019755e-05,0.00013829543604515493,0.0001765766937751323,0.33385661244392395,0.5851969718933105
27,1751888745.9473493,86400,-0.19593513011932373,0.0,-0.695090115070343,0.0005441912217065692,-0.19450558722019196,0.6931163668632507,0.0,0.00013823019980918616,0.00013823019980918616,0.337146133184433,0.5612492561340332
28,1751888776.0761297,89600,0.9738664031028748,0.011049382388591766,0.44295573234558105,0.032317809760570526,-0.19450567662715912,0.6930985450744629,0.0002796875196509063,0.00013820220192428678,0.0004178896779194474,0.3209785223007202,0.5774220824241638
29,1751888805.2883728,92800,0.9753194451332092,0.013024692423641682,0.410469114780426,0.0661960169672966,-0.19450503587722778,0.6931593418121338,0.0003296875220257789,0.0001381687179673463,0.0004678562399931252,0.32148870825767517,0.5804211497306824
30,1751888832.1337104,96000,0.473757266998291,0.006874999962747097,-0.06345298886299133,0.03847867250442505,-0.19450433552265167,0.6932359337806702,0.00017187499906867743,0.00013817573199048638,0.00031005070195533335,0.325908362865448,0.5905357003211975
31,1751888864.0742035,99200,-0.0716928243637085,0.007067901082336903,-0.5782089233398438,0.007874611765146255,-0.19450420141220093,0.6931456923484802,0.00017890625167638063,0.00013819806918036193,0.0003171042772009969,0.32952880859375,0.5800146460533142
32,1751888896.5530095,102400,0.0008717775344848633,0.006031249649822712,-0.5082881450653076,0.010546463541686535,-0.1945042759180069,0.6931177377700806,0.0001507812412455678,0.00013819766172673553,0.00028897891752421856,0.33680617809295654,0.5787187814712524
33,1751888921.2103138,105600,0.7684946656227112,0.007746913470327854,0.2350461632013321,0.03476458415389061,-0.19450438022613525,0.6931883096694946,0.00019609375158324838,0.0001381981128361076,0.00033429183531552553,0.3407621383666992,0.5848991274833679
34,1751888950.5699372,108800,0.45830830931663513,0.007156250067055225,-0.0799272432923317,0.039571329951286316,-0.1945042461156845,0.6931684613227844,0.00017890625167638063,0.00013819773448631167,0.0003171040443703532,0.3383979797363281,0.5846880078315735
