# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,discrim_loss_mean,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_sound_features,mean_count_rewards
0,1751546233.8549786,0,0.22923526167869568,0.017283950001001358,-0.3212749660015106,0.05191647261381149,-0.19458621740341187,0.6931799650192261,0.0004374999844003469,1.3696024314668875e-09,0.0004375013231765479,0.017812499776482582,0.5752662420272827
1,1751546256.2608652,3200,17.80732536315918,0.017191357910633087,17.022361755371094,0.2863076627254486,-0.19450309872627258,0.6931596398353577,0.00043515622382983565,1.3745062865666569e-09,0.0004351575335022062,0.022187499329447746,0.5823246240615845
2,1751546279.5528069,6400,-16.44486427307129,0.0,-17.183103561401367,0.2396353781223297,-0.19455130398273468,0.6931549906730652,0.0,1.3771499496328943e-09,1.3771499496328943e-09,0.013124999590218067,0.5799906253814697
3,1751546302.8055778,9600,0.869623601436615,0.002937499899417162,0.36099544167518616,0.010039402171969414,-0.1945614069700241,0.6931501626968384,7.343749894062057e-05,1.3788189479058133e-09,7.343886682065204e-05,0.019062500447034836,0.5849109888076782
4,1751546329.2853067,12800,1.9663019180297852,0.024512194097042084,1.3522287607192993,0.11548468470573425,-0.1945602148771286,0.693148672580719,0.0006281249807216227,1.3797614162314176e-09,0.0006281262030825019,0.023749999701976776,0.5932647585868835
5,1751546356.0786772,16000,0.24572640657424927,0.006718750111758709,-0.26678645610809326,0.013926568441092968,-0.19456155598163605,0.6931478381156921,0.00016796875570435077,1.3803296283754207e-09,0.0001679701526882127,0.011250000447034836,0.5786343216896057
6,1751546379.804066,19200,1.3792901039123535,0.020945122465491295,0.7878527045249939,0.0928494781255722,-0.19456107914447784,0.6931489706039429,0.0005367187550291419,1.380597081102053e-09,0.0005367201520130038,0.02250000089406967,0.5845087170600891
7,1751546401.85817,22400,0.7861768007278442,0.006156249903142452,0.26523420214653015,0.022354677319526672,-0.19456088542938232,0.6931487917900085,0.00015390625048894435,1.3806524812309817e-09,0.00015390761836897582,0.020937500521540642,0.5822095274925232
8,1751546425.696582,25600,0.8592999577522278,0.012716049328446388,0.3291657269001007,0.03154684603214264,-0.19456087052822113,0.6931482553482056,0.00032187497708946466,1.380653036342494e-09,0.0003218763740733266,0.019062500447034836,0.5889318585395813
9,1751546447.8727877,28800,0.37299272418022156,0.003781250212341547,-0.14163953065872192,0.016045836731791496,-0.19456076622009277,0.6931471824645996,9.453124948777258e-05,1.3806574772345925e-09,9.453266829950735e-05,0.018437499180436134,0.5744810700416565
