# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,discrim_loss_mean,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_sound_features,mean_count_rewards
0,1751268471.8971145,0,0.9419602751731873,0.010656250640749931,0.41046142578125,0.03302016109228134,-0.19449998438358307,0.6929786801338196,0.00026640624855645,1.4641909906742967e-09,0.0002664076746441424,0.030100345611572266,0.5815675854682922
1,1751268501.253326,3200,-36.902896881103516,0.013024690560996532,-38.63373565673828,1.2311627864837646,-0.19434763491153717,0.6940225958824158,0.00032968749292194843,1.4566233774715442e-09,0.00032968888990581036,0.03602354973554611,0.5802009105682373
2,1751268529.0482001,6400,-6.159716606140137,0.005679012276232243,-6.717535972595215,0.05797736719250679,-0.19430017471313477,0.6941421627998352,0.00014375000318977982,1.447482134153688e-09,0.00014375144382938743,0.03724616765975952,0.5941377282142639
3,1751268556.132176,9600,-3.3080830574035645,0.002093750052154064,-3.820655584335327,0.01354355737566948,-0.19428730010986328,0.6933161020278931,5.2343752031447366e-05,1.4432979256184808e-09,5.23452072229702e-05,0.024013226851820946,0.5630493760108948
