# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,discrim_loss_mean,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_sound_features,mean_count_rewards
0,1751619046.7195213,0,3.3187804222106934,0.008249999955296516,2.7998642921447754,0.020299870520830154,-0.19457650184631348,0.693192720413208,0.00020624998433049768,0.0001404479262419045,0.00034669789602048695,0.01718750037252903,0.5745874047279358
1,1751619073.6400561,3200,-33.22953414916992,0.007901234552264214,-34.75733184814453,1.0291862487792969,-0.19455407559871674,0.693164050579071,0.00019999999494757503,0.00013980510993860662,0.0003398051194380969,0.014375000260770321,0.5796801447868347
2,1751619100.8883681,6400,-5.658457279205322,0.014135802164673805,-6.234176158905029,0.07713715732097626,-0.19457660615444183,0.6931585073471069,0.00035781250335276127,0.00013953768939245492,0.00049735011998564,0.019062500447034836,0.5822105407714844
3,1751619126.586787,9600,-3.3060121536254883,0.006156249903142452,-3.8401451110839844,0.03555210307240486,-0.19457389414310455,0.6931548118591309,0.00015390625048894435,0.0001394423597957939,0.00029334862483665347,0.020937500521540642,0.5796118378639221
4,1751619152.180725,12800,-3.376321792602539,0.010679012164473534,-3.9201102256774902,0.0452071875333786,-0.19457395374774933,0.6931552886962891,0.0002703125064726919,0.00013943316298536956,0.00040974561125040054,0.013124999590218067,0.5791303515434265
5,1751619178.2746422,16000,-2.3878350257873535,0.015648147091269493,-2.960674285888672,0.0742601752281189,-0.19457407295703888,0.6931532025337219,0.00039609376108273864,0.00013943336671218276,0.0005355271277949214,0.015312500298023224,0.5788745284080505
6,1751619204.9841006,19200,-2.4307029247283936,0.00937500037252903,-2.97320556640625,0.043921127915382385,-0.1945740282535553,0.6931554675102234,0.00023437499476131052,0.0001394329738104716,0.00037380799767561257,0.02187499962747097,0.5731882452964783
